2024-05-10 21:49:31.222 [info] (Client) Pylance async client (2024.5.1) started with python extension (2024.6.0)
2024-05-10 21:49:37.156 [info] [Info  - 9:49:37 PM] (13633) Pylance language server 2024.5.1 (pyright version 1.1.360, commit 4bc8428d) starting
2024-05-10 21:49:37.260 [info] [Info  - 9:49:37 PM] (13633) Server root directory: file:///home/mi/.vscode-server/extensions/ms-python.vscode-pylance-2024.5.1/dist
2024-05-10 21:49:37.351 [info] [Info  - 9:49:37 PM] (13633) Starting service instance "mi"
2024-05-10 21:49:37.420 [info] [Info  - 9:49:37 PM] (13633) Auto-Indent enabled
2024-05-10 21:49:37.698 [info] [Info  - 9:49:37 PM] (13633) Background analysis(1) root directory: file:///home/mi/.vscode-server/extensions/ms-python.vscode-pylance-2024.5.1/dist
2024-05-10 21:49:37.707 [info] [Info  - 9:49:37 PM] (13633) Background analysis(1) started
2024-05-10 21:49:38.046 [info] [Info  - 9:49:38 PM] (13633) Setting pythonPath for service "mi": "/home/mi/.venv/bin/python"
2024-05-10 21:49:38.076 [info] [Info  - 9:49:38 PM] (13633) Setting environmentName for service "mi": "3.6.9 (.venv venv)"
2024-05-10 21:49:42.918 [info] [Info  - 9:49:42 PM] (13633) Assuming Python version 3.6.9.final.0
2024-05-10 21:49:43.495 [info] [Info  - 9:49:43 PM] (13633) Found 125 source files
2024-05-10 21:49:43.639 [info] [Info  - 9:49:43 PM] (13633) Indexer background runner(2) root directory: file:///home/mi/.vscode-server/extensions/ms-python.vscode-pylance-2024.5.1/dist (index)
2024-05-10 21:49:43.644 [info] [Info  - 9:49:43 PM] (13633) Indexing(2) started
2024-05-10 21:49:52.298 [info] [Info  - 9:49:52 PM] (13633) [IDX(2)] Long operation: scan packages file:///home/mi (4468ms)
2024-05-10 21:49:53.064 [info] [Info  - 9:49:53 PM] (13633) scanned(2) 143 files over 1 exec env
2024-05-10 21:49:53.070 [info] [Info  - 9:49:53 PM] (13633) [BG(1)] Long operation: checking: file:///home/mi/workplace/src/learning/learning/track.py (6274ms)
2024-05-10 21:49:53.445 [info] [Info  - 9:49:53 PM] (13633) [BG(1)] Long operation: analyzing: file:///home/mi/workplace/src/learning/learning/track.py (8126ms)
2024-05-10 21:49:53.499 [info] [Info  - 9:49:53 PM] (13633) indexed(2) 14 files over 1 exec env
2024-05-10 21:49:53.503 [info] [Info  - 9:49:53 PM] (13633) Indexing finished(2).
2024-05-10 22:15:44.539 [info] [Info  - 10:15:44 PM] (13633) Found 131 source files
2024-05-10 22:15:48.369 [info] [Info  - 10:15:48 PM] (13633) [BG(1)] Long operation: checking: file:///home/mi/workplace/src/learning/learning/track.py (2959ms)
2024-05-10 22:15:48.381 [info] [Info  - 10:15:48 PM] (13633) [BG(1)] Long operation: analyzing: file:///home/mi/workplace/src/learning/learning/track.py (3707ms)
2024-05-10 22:23:29.768 [info] [Info  - 10:23:29 PM] (13633) [BG(1)] Long operation: checking: file:///home/mi/workplace/src/learning/learning/move_x.py (4476ms)
2024-05-10 22:23:29.769 [info] [Info  - 10:23:29 PM] (13633) [BG(1)] Long operation: analyzing: file:///home/mi/workplace/src/learning/learning/move_x.py (4578ms)
