2024-05-11 21:52:03.779 [info] Experiment 'pythonRecommendTensorboardExt' is active
2024-05-11 21:52:03.779 [info] Experiment 'pythonREPLSmartSend' is active
2024-05-11 21:52:03.780 [info] Experiment 'pythonTerminalEnvVarActivation' is active
2024-05-11 21:52:03.780 [info] Experiment 'pythonTestAdapter' is active
2024-05-11 21:52:03.780 [info] Default formatter is set to null for workspace /home/mi
2024-05-11 21:52:03.780 [info] Python interpreter path: /usr/bin/python3
2024-05-11 21:52:03.858 [info] > pyenv which python
2024-05-11 21:52:03.858 [info] cwd: .
2024-05-11 21:52:11.806 [info] Starting Pylance language server.
2024-05-11 21:53:52.093 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_loc.py
2024-05-11 21:54:30.955 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/rgb_cam_suber.py
2024-05-11 21:54:33.525 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/rgb_cam_suber.py
2024-05-11 21:55:29.162 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/rotate_to_line.py
2024-05-11 21:57:17.017 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/rotate_to_line.py
2024-05-11 21:57:41.970 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/stop_node.py
2024-05-11 21:58:29.710 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/geometry.py
2024-05-11 21:58:30.489 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/geometry.py
2024-05-11 22:01:00.737 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/main_node.py
2024-05-11 22:01:58.779 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_loc.py
2024-05-11 22:06:15.652 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/main_node.py
2024-05-11 22:06:35.445 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/main_node.py
2024-05-11 22:07:10.535 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/setup.py
2024-05-11 22:07:30.182 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/setup.py
2024-05-11 22:13:09.614 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_loc.py
2024-05-11 22:22:48.799 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_loc.py
2024-05-11 22:24:09.299 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_loc.py
2024-05-11 22:27:15.456 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_loc.py
2024-05-11 22:27:16.533 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_loc.py
2024-05-11 22:47:00.342 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_loc.py
2024-05-11 22:47:02.128 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/data_receive.py
2024-05-11 22:47:03.124 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/rgb_cam_suber.py
2024-05-11 22:52:33.658 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_loc.py
2024-05-11 22:54:26.106 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_loc.py
2024-05-11 22:55:58.029 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_loc.py
2024-05-11 22:56:13.050 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_loc.py
2024-05-11 23:21:34.617 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_loc.py
2024-05-11 23:22:58.473 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_loc.py
2024-05-11 23:26:11.794 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_loc.py
2024-05-11 23:34:24.685 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_loc.py
2024-05-11 23:34:27.638 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_loc.py
2024-05-11 23:37:00.131 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_loc.py
2024-05-11 23:41:52.298 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_loc.py
2024-05-11 23:41:53.364 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_loc.py
2024-05-11 23:43:38.795 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_loc.py
2024-05-11 23:43:49.616 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_loc.py
2024-05-11 23:50:02.238 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/main_node.py
2024-05-12 00:06:08.919 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/geometry.py
2024-05-12 00:07:53.197 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/geometry.py
2024-05-12 00:26:18.844 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/geometry.py
2024-05-12 00:27:40.266 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/geometry.py
2024-05-12 00:27:51.021 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/main_node.py
2024-05-12 00:28:03.343 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/geometry.py
