2024-05-22 21:17:00.320 [info] Experiment 'pythonCreateEnvOnPipInstall' is active
2024-05-22 21:17:00.321 [info] Experiment 'pythonRecommendTensorboardExt' is active
2024-05-22 21:17:00.321 [info] Experiment 'pythonTerminalEnvVarActivation' is active
2024-05-22 21:17:00.321 [info] Experiment 'pythonTestAdapter' is active
2024-05-22 21:17:00.321 [info] Default formatter is set to null for workspace /home/mi
2024-05-22 21:17:00.321 [info] Python interpreter path: /usr/bin/python3
2024-05-22 21:17:00.710 [info] > pyenv which python
2024-05-22 21:17:00.711 [info] cwd: .
2024-05-22 21:17:06.525 [info] Starting Pylance language server.
2024-05-22 21:26:18.193 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-22 21:26:21.988 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-22 21:36:49.523 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/move_node.py
2024-05-22 21:42:40.276 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/move_node.py
2024-05-22 21:47:10.367 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/move_node.py
2024-05-22 21:48:02.764 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/move_node.py
2024-05-22 21:51:05.085 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/rgb_cam_suber.py
2024-05-22 21:51:22.090 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/rgb_cam_suber.py
2024-05-22 21:55:31.692 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-22 22:04:42.049 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-22 22:04:59.604 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-22 22:05:00.840 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-22 22:07:25.679 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/main_node.py
2024-05-22 22:07:26.299 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/main_node.py
2024-05-22 22:07:46.564 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/main_node.py
2024-05-22 22:19:22.985 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/move_node.py
2024-05-22 22:21:07.537 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/main_node.py
2024-05-22 22:21:51.934 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/main_node.py
2024-05-22 22:22:04.400 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/main_node.py
2024-05-22 22:22:05.782 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/move_node.py
2024-05-22 22:22:23.267 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/rotate_to_line.py
2024-05-22 22:22:25.483 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/rgb_cam_suber.py
2024-05-22 22:23:05.481 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/main_node.py
2024-05-22 22:23:06.766 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/move_node.py
2024-05-22 22:25:53.310 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/setup.py
2024-05-22 22:27:14.589 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/setup.py
2024-05-22 22:28:10.772 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/main_node.py
2024-05-22 22:29:20.441 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/main_node.py
2024-05-22 22:30:07.392 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/main_node.py
2024-05-22 22:30:29.731 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/main_node.py
2024-05-22 22:31:15.708 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/main_node.py
2024-05-22 22:31:36.192 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/main_node.py
2024-05-22 22:32:42.627 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/main_node.py
2024-05-22 22:32:56.443 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/move_node.py
2024-05-22 22:35:18.976 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-22 22:35:41.374 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-22 22:35:50.870 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-22 22:36:52.492 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/main_node.py
2024-05-22 22:39:05.811 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/rgb_cam_suber.py
